nb_trawlers,fish_stock,capture,income,price,fleet_maintenance_cost,capital
26,6453.870421411472,60.0,200.0,5.0,520.0,-59142.23350266852
26,6413.61751831914,40.0,300.0,5.0,520.0,-59362.23350266852
26,6388.486635468629,46.11733193600067,200.0,5.0,520.0,-59682.23350266852
26,6358.08932458178,60.0,230.58665968000335,5.0,520.0,-59971.64684298851
26,6325.492004575481,40.92971866218261,300.0,5.0,520.0,-60191.64684298851
26,6307.661274479813,60.0,204.64859331091304,5.0,520.0,-60506.9982496776
26,6271.112475853985,80.0,300.0,5.0,520.0,-60726.9982496776
26,6232.820275655513,64.54132011506663,400.0,5.0,520.0,-60846.9982496776
26,6207.7028301805485,61.87823159682027,322.70660057533314,5.0,520.0,-61044.29164910226
26,6175.050591891709,70.57446519327517,309.39115798410137,5.0,520.0,-61254.90049111816
26,6136.017593417361,69.26517702429267,352.8723259663759,5.0,520.0,-61422.02816515179
26,6103.184367517464,54.02886499547568,346.32588512146333,5.0,520.0,-61595.702280030324
26,6081.232725879438,60.0,270.1443249773784,5.0,520.0,-61845.557955052944
26,6061.090633425837,60.0,300.0,5.0,520.0,-62065.557955052944
26,6047.249568143795,60.0,300.0,5.0,520.0,-62285.557955052944
26,6037.762269632157,80.0,300.0,5.0,520.0,-62505.557955052944
26,6008.295334470919,80.0,400.0,5.0,520.0,-62625.557955052944
26,5967.061961909649,72.77873704918474,400.0,5.0,520.0,-62745.557955052944
26,5923.1753357873395,51.53434333557031,363.89368524592373,5.0,520.0,-62901.66426980702
26,5864.232449645121,56.46072286231343,257.6717166778516,5.0,520.0,-63163.99255312917
26,5805.842455901571,40.0,282.3036143115671,5.0,520.0,-63401.6889388176
26,5776.309910152541,40.0,200.0,5.0,520.0,-63721.6889388176
26,5750.040326970958,37.39458894003305,200.0,5.0,520.0,-64041.6889388176
26,5737.06278270705,22.93672698243498,186.97294470016527,5.0,520.0,-64374.71599411743
26,5736.890630037906,48.33549407655286,114.6836349121749,5.0,520.0,-64780.03235920526
26,5717.706959331576,45.63487024724157,241.6774703827643,5.0,520.0,-65058.3548888225
26,5706.0473450295785,40.0,228.17435123620788,5.0,520.0,-65350.18053758629
26,5702.962198433831,60.0,200.0,5.0,520.0,-65670.18053758629
26,5692.7742124374645,48.05875505886722,300.0,5.0,520.0,-65890.18053758629
26,5691.119109340352,80.0,240.2937752943361,5.0,520.0,-66169.88676229195
26,5642.352335728992,57.708403157681914,400.0,5.0,520.0,-66289.88676229195
26,5605.053869882273,39.04914505398604,288.54201578840957,5.0,520.0,-66521.34474650354
26,5583.146331371427,40.0,195.24572526993018,5.0,520.0,-66846.09902123362
26,5558.166649990055,49.87813777416364,200.0,5.0,520.0,-67166.09902123362
26,5524.462175012037,44.35475402038855,249.3906888708182,5.0,520.0,-67436.7083323628
26,5496.023387146736,38.85329836848779,221.77377010194272,5.0,520.0,-67734.93456226087
26,5470.889983135586,40.0,194.26649184243897,5.0,520.0,-68060.66807041843
